Name,THC
Sour Tsunami Reg.,1%
René CBD,6.17%
Hielo,10%
Hippie Therapy CBD,9%
Viuda Blanca CBD,9%
Royal THCV,7%
Dr Greenman Pure CBD,1%
Critical Mass CBD,8%
CBD Spliff Berry,7.60%
Auto New York City CBD,7%
Medizinal CBD,1%
Cannabis Light,4%
CBD Silver Lime Haze Auto,9%
Mamba Negra Auto CBD,5%
Auto White Widow CBD,7%
Medical Mass CBD,10%
Purple Kush 1:1 Auto,7%
Solomatic CBD,1%
Royal Medic CBD,10%
Painkiller XL,9%
Euphoria CBD,9%
Mr. Kush,7 %
CBD-Chronic,5.8%
CBD Enriched Warlock,4%
CBD Lemon Potion Auto,8%
Auto Northern Lights CBD,8%
Sweet Peach Auto CBD,9%
Auto Winweed CBD,9%
Anesthesia CBD,10 %
