Name,THC
Jack Mist Tree,17%
Mind Can'trol,
Patel's Cornershop Surprise,
Red Leicester Tease,17-21%
Enemy's Dream,18%
Mexican Candy,+/- 22%
Superb O.G,20-24%
Star 47,
Double Dutch Reg.,Hoch
Haze x Kali China,16%
Renaissance Reg.,8 - 14 %
C99 X Blueberry Fast,15-20%
Mazari,Hoch
White Caramel Cookie,Hoch
Brainkiller Haze,20%
Caramel Monster,Hoch
Nicole x OG,Mittel - Hoch
Pure Gelato,Hoch
Vision Gorilla,Hoch
Vision Kosher,Hoch
Wedding Cake x Triple OG,Hoch
Sour Glue,
Purple Crack,Hoch
Vip Haze,23 %
GSC,25%
Texada Timewarp Reg.,21%
BC Hash Plant Reg.,24%
God Bud Reg.,4-16%
Tuna God Reg.,25%
BC Hash Plant,24%
Wild Berry,25%
Orange Glue,20 - 25%
Big Freeze,15 - 20%
Runz Gummy,25 - 30%
Zfuel Swag Reg.,~18-22 %
Divorce Cake,Sehr Hoch (25%+)
Dama Blanca,18-20%
Cream Automatic,16 - 18%
Chemdog #4,18 - 26%
Hybrid X,18%
Pretty Lights,20%
D.K. Won,21-23 %
Bubba Cheesecake,20%
Jamnesia Haze,17%
S&M,20-22%
Maltezerz,25%
"Island Sweet Barb,""14,57%"""
Nepal Mist Reg.,12%
Super Larry Og,20%
Gasoline,19%
La Perla Negra,21%
Kush Exclusive,20%
Limon Haze,23%
Nemo,20%
Oxus,20%
Super mandarina,18%
Cookie Dawg,20 %
Crystal Gelato,20 %
Original Limonade Skunk,19%
Super Mazar,21%
Trippy Gorilla,25 - 28 %
Watermelon Zkittelz (Big Head Seeds),24 - 26 %
Girl Scout Cookies (Big Head Seeds),20+%
Bruce Banger FAST,15-20%
L.A. Peyote Kush,20-25%
Purple Ghost Candy,15-20%
Sherbert Glue,24 %
Pink Gasoline,Hoch
Wedding Cake S1,25+%
Purple Valley OG Reg.,19 - 23%
"Thai A5 Haze,""13,50 - 19,45%"""
Aktombe,18%
CBD Republik II,Niedrig
Jack Attack,15%
Double Cheese,15%
Critical Banana Smoothie,25%
Trippy Pebbles,23%
White Fire OG Kush,26%
Lemon Sorbet,18 - 22%
Watermelon Runtz,18 - 22%
Tikal,15-20%
Hashplant x Kali China,15.79%
Sweetopia,23%
Eliot's Sister Reg.,Hoch
Skywalka Cookies,20-24%
Wedding Cake (Royal Queen Seeds),20%
Frozen Apples,24 - 28%
Envy Pie,24 - 28%
Fruit Drops,24 - 28%
Fruit Sundae,24 - 28%
Pavesini,24 - 28%
Poison Apple,24 - 28%
Rainbow Falls,24 - 28%
Trutti Frutti,24 - 28%
Berry Pie FAST,20 - 28%
Affie Dogwalker reg.,16 - 24%
Affie OG reg.,16 - 24%
Banana Foster,23-27%
Cherry Bear Kush Auto,16 - 26 %
